"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"La Crosse-Onalaska, WI-MN","29100",2019,59,45,14,0,0,0,0,81,64,33,0,0,0,0,59,0
"Lafayette, LA","29180",2019,120,99,21,0,0,0,0,80,56,41,0,0,78,0,42,0
"Lafayette-West Lafayette, IN","29200",2019,89,75,14,0,0,0,0,75,55,40,0,0,54,0,35,0
"Lake Charles, LA","29340",2019,120,88,32,0,0,0,0,90,58,43,0,1,60,1,58,0
"Lake Havasu City-Kingman, AZ","29420",2019,90,90,0,0,0,0,0,31,17,6,0,0,0,0,0,90
"Lansing-East Lansing, MI","29620",2019,1,1,0,0,0,0,0,28,28,28,0,0,0,0,1,0
"Laramie, WY","29660",2019,65,64,1,0,0,0,0,54,49,44,0,0,50,0,12,3
"Las Cruces, NM","29740",2019,120,98,17,2,0,1,2,630,65,33,0,0,0,0,20,100
"Lawrenceburg, TN","29980",2019,82,79,3,0,0,0,0,54,40,22,0,0,0,0,82,0
"Lawton, OK","30020",2019,90,74,16,0,0,0,0,80,55,43,0,0,46,0,44,0
"Lewiston, ID-WA","30300",2019,31,17,14,0,0,0,0,72,69,40,0,0,0,0,31,0
"Lewiston-Auburn, ME","30340",2019,120,113,7,0,0,0,0,62,46,37,0,0,59,0,61,0
"Lexington-Fayette, KY","30460",2019,12,10,2,0,0,0,0,58,53,36,0,0,0,0,9,3
"Lima, OH","30620",2019,90,80,10,0,0,0,0,76,56,35,0,0,22,31,37,0
"Lincoln, NE","30700",2019,29,22,7,0,0,0,0,66,60,34,0,0,0,0,29,0
"Little Rock-North Little Rock-Conway, AR","30780",2019,91,70,21,0,0,0,0,74,54,41,1,0,42,0,48,0
"Logan, UT-ID","30860",2019,120,95,18,7,0,0,0,137,67,44,0,0,91,0,29,0
"Longview, WA","31020",2019,31,25,6,0,0,0,0,76,56,36,0,0,0,0,31,0
"Louisville/Jefferson County, KY-IN","31140",2019,80,74,6,0,0,0,0,62,48,31,0,0,45,1,34,0
"Lynchburg, VA","31340",2019,23,23,0,0,0,0,0,45,37,20,0,0,0,0,23,0
"Macon, GA","31420",2019,120,107,13,0,0,0,0,77,51,36,0,0,61,21,38,0
"Madera, CA","31460",2019,5,5,0,0,0,0,0,30,30,15,0,0,0,0,5,0
"Madison, WI","31540",2019,59,40,19,0,0,0,0,87,68,39,0,0,0,0,59,0
"Malone, NY","31660",2019,90,90,0,0,0,0,0,1,0,0,0,0,0,90,0,0
"Marietta, OH","31930",2019,31,31,0,0,0,0,0,50,48,42,0,0,31,0,0,0
"Mason City, IA","32380",2019,30,30,0,0,0,0,0,34,22,13,0,0,0,0,0,30
"McAlester, OK","32540",2019,90,73,17,0,0,0,0,87,56,39,0,0,57,0,33,0
"Memphis, TN-MS-AR","32820",2019,120,103,17,0,0,0,0,61,52,40,0,2,70,0,48,0
"Merced, CA","32900",2019,19,13,5,1,0,0,0,116,90,31,0,0,0,0,18,1
"Meridian, MS","32940",2019,61,56,5,0,0,0,0,77,50,43,0,0,61,0,0,0
"Michigan City-La Porte, IN","33140",2019,80,71,9,0,0,0,0,77,53,31,0,0,49,0,31,0
"Middlesborough, KY","33180",2019,5,4,1,0,0,0,0,55,55,26,0,0,0,0,5,0
"Milwaukee-Waukesha-West Allis, WI","33340",2019,60,37,23,0,0,0,0,90,65,45,1,5,13,0,37,4
"Minot, ND","33500",2019,90,79,11,0,0,0,0,86,51,34,0,2,80,0,8,0
"Missoula, MT","33540",2019,31,6,25,0,0,0,0,88,83,63,0,0,1,0,30,0
"Mobile, AL","33660",2019,69,59,10,0,0,0,0,71,54,30,0,0,0,2,67,0
"Modesto, CA","33700",2019,37,23,13,1,0,0,0,103,89,37,1,0,9,0,24,3
"Monroe, LA","33740",2019,117,104,13,0,0,0,0,71,51,36,0,0,117,0,0,0
"Montgomery, AL","33860",2019,69,43,26,0,0,0,0,75,62,46,0,0,0,0,69,0
