"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2019,31,31,0,0,0,0,0,40,37,23,0,0,0,0,31,0
"Akron, OH","10420",2019,90,59,30,1,0,0,0,102,64,43,0,0,12,1,77,0
"Albany, GA","10500",2019,54,39,15,0,0,0,0,82,61,35,0,0,0,0,54,0
"Albany-Schenectady-Troy, NY","10580",2019,91,72,19,0,0,0,0,92,58,41,1,0,51,0,39,0
"Albuquerque, NM","10740",2019,90,85,5,0,0,0,0,58,50,41,0,0,86,0,3,1
"Allentown-Bethlehem-Easton, PA-NJ","10900",2019,90,89,1,0,0,0,0,71,41,31,0,0,87,3,0,0
"Amarillo, TX","11100",2019,59,59,0,0,0,0,0,46,42,34,0,0,59,0,0,0
"Americus, GA","11140",2019,61,45,16,0,0,0,0,84,61,44,0,0,61,0,0,0
"Ann Arbor, MI","11460",2019,54,54,0,0,0,0,0,44,39,32,0,0,53,0,1,0
"Appleton, WI","11540",2019,59,49,9,1,0,0,0,119,64,28,0,0,0,1,58,0
"Ardmore, OK","11620",2019,90,72,18,0,0,0,0,74,57,38,0,0,24,0,66,0
"Arkadelphia, AR","11660",2019,56,56,0,0,0,0,0,46,36,28,0,0,56,0,0,0
"Asheville, NC","11700",2019,90,79,10,1,0,0,0,108,52,23,0,0,0,21,69,0
"Ashtabula, OH","11780",2019,90,88,2,0,0,0,0,74,43,1,0,0,31,59,0,0
"Athens, OH","11900",2019,30,28,2,0,0,0,0,56,49,28,0,0,0,0,30,0
"Athens, TN","11940",2019,90,81,9,0,0,0,0,57,51,26,0,0,0,0,90,0
"Athens-Clarke County, GA","12020",2019,119,92,27,0,0,0,0,71,61,40,0,0,61,0,58,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2019,121,82,38,1,0,0,0,126,67,43,1,5,78,0,37,0
"Atlantic City-Hammonton, NJ","12100",2019,89,89,0,0,0,0,0,48,44,33,0,0,89,0,0,0
"Augusta-Richmond County, GA-SC","12260",2019,120,82,38,0,0,0,0,87,64,45,0,0,70,4,46,0
"Augusta-Waterville, ME","12300",2019,119,117,2,0,0,0,0,54,47,34,0,53,61,0,5,0
"Bakersfield, CA","12540",2019,120,96,15,7,2,0,0,166,81,17,0,0,0,0,85,35
"Baltimore-Columbia-Towson, MD","12580",2019,91,65,26,0,0,0,0,98,62,44,1,9,42,2,37,0
"Bangor, ME","12620",2019,120,117,3,0,0,0,0,62,46,38,0,0,61,0,59,0
"Baraboo, WI","12660",2019,59,49,10,0,0,0,0,71,58,26,0,0,0,0,59,0
"Barnstable Town, MA","12700",2019,57,57,0,0,0,0,0,43,43,38,0,0,57,0,0,0
"Baton Rouge, LA","12940",2019,121,86,35,0,0,0,0,97,61,43,1,5,74,1,40,0
"Bay City, MI","13020",2019,1,1,0,0,0,0,0,23,23,23,0,0,0,0,1,0
"Beaver Dam, WI","13180",2019,60,44,16,0,0,0,0,91,60,39,1,0,27,0,32,0
"Bellingham, WA","13380",2019,31,29,2,0,0,0,0,52,46,31,0,0,0,8,23,0
"Billings, MT","13740",2019,31,31,0,0,0,0,0,48,43,25,0,0,0,0,31,0
"Birmingham-Hoover, AL","13820",2019,32,14,18,0,0,0,0,70,63,52,1,0,1,3,27,0
"Bishop, CA","13860",2019,90,87,3,0,0,0,0,74,47,42,0,0,86,0,0,4
"Bismarck, ND","13900",2019,91,71,20,0,0,0,0,74,59,38,1,2,59,0,29,0
"Blacksburg-Christiansburg-Radford, VA","13980",2019,87,77,10,0,0,0,0,89,56,34,0,0,52,35,0,0
"Bloomington, IL","14010",2019,90,57,33,0,0,0,0,73,63,45,0,0,19,0,71,0
"Bloomington, IN","14020",2019,84,75,9,0,0,0,0,72,51,34,0,0,23,0,61,0
"Boston-Cambridge-Newton, MA-NH","14460",2019,60,43,17,0,0,0,0,74,58,42,1,3,21,0,35,0
"Boulder, CO","14500",2019,94,68,23,3,0,0,0,119,66,44,0,0,49,0,45,0
"Bowling Green, KY","14540",2019,91,86,5,0,0,0,0,71,48,35,2,0,83,0,6,0
"Bozeman, MT","14580",2019,90,88,2,0,0,0,0,54,38,9,9,46,0,0,35,0
"Bremerton-Silverdale, WA","14740",2019,31,30,1,0,0,0,0,61,31,19,0,0,0,0,31,0
"Brunswick, GA","15260",2019,70,62,8,0,0,0,0,74,58,42,0,0,61,0,9,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2019,91,79,12,0,0,0,0,69,51,39,1,21,56,0,13,0
"Butte-Silver Bow, MT","15580",2019,40,23,17,0,0,0,0,91,80,45,0,0,0,0,36,4
"Cadillac, MI","15620",2019,47,47,0,0,0,0,0,50,41,35,0,0,47,0,0,0
"Cambridge, MD","15700",2019,90,82,8,0,0,0,0,59,50,39,0,0,79,0,11,0
"Canton-Massillon, OH","15940",2019,121,80,41,0,0,0,0,76,64,45,1,0,36,0,84,0
"Casper, WY","16220",2019,90,80,10,0,0,0,0,74,51,43,0,0,88,1,1,0
"Ca¤on City, CO","15860",2019,5,5,0,0,0,0,0,29,29,6,0,0,0,0,0,5
"Cedar City, UT","16260",2019,120,113,7,0,0,0,0,84,48,42,0,3,113,0,4,0
"Cedar Rapids, IA","16300",2019,120,91,29,0,0,0,0,80,64,41,0,0,48,0,72,0
"Centralia, WA","16500",2019,31,24,7,0,0,0,0,62,55,37,0,0,0,0,31,0
"Champaign-Urbana, IL","16580",2019,90,71,19,0,0,0,0,73,60,43,0,0,38,0,52,0
"Charleston, WV","16620",2019,91,81,10,0,0,0,0,72,53,39,1,0,40,0,50,0
"Charleston-North Charleston, SC","16700",2019,90,79,11,0,0,0,0,97,53,38,0,0,49,0,39,2
"Charlotte-Concord-Gastonia, NC-SC","16740",2019,121,87,34,0,0,0,0,77,62,45,1,0,71,0,49,0
"Charlottesville, VA","16820",2019,50,43,7,0,0,0,0,67,54,41,0,0,30,0,20,0
"Chattanooga, TN-GA","16860",2019,120,82,38,0,0,0,0,84,67,44,0,0,51,0,69,0
"Cheyenne, WY","16940",2019,30,30,0,0,0,0,0,50,29,15,0,0,0,0,28,2
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2019,102,42,60,0,0,0,0,88,71,52,1,13,9,0,75,4
"Chico, CA","17020",2019,57,42,14,1,0,0,0,102,81,33,0,0,3,0,54,0
"Cincinnati, OH-KY-IN","17140",2019,121,58,62,1,0,0,0,107,67,51,1,3,42,2,73,0
"Claremont-Lebanon, NH-VT","17200",2019,59,59,0,0,0,0,0,41,39,35,0,0,59,0,0,0
"Clarksburg, WV","17220",2019,27,26,1,0,0,0,0,54,45,31,0,0,0,0,27,0
"Clarksville, TN-KY","17300",2019,90,83,7,0,0,0,0,63,47,34,0,0,41,0,49,0
"Clearlake, CA","17340",2019,17,17,0,0,0,0,0,29,23,6,0,0,0,0,12,5
"Cleveland, MS","17380",2019,120,95,24,0,0,1,0,277,62,40,0,0,53,0,67,0
"Cleveland-Elyria, OH","17460",2019,121,67,54,0,0,0,0,97,70,48,1,0,43,0,75,2
"Clinton, IA","17540",2019,119,76,43,0,0,0,0,87,65,44,0,0,36,0,83,0
"Colorado Springs, CO","17820",2019,93,82,11,0,0,0,0,85,51,43,1,0,79,0,10,3
"Columbia, SC","17900",2019,91,73,18,0,0,0,0,80,54,40,1,0,64,0,26,0
"Columbus, GA-AL","17980",2019,120,100,20,0,0,0,0,90,57,40,0,0,56,0,64,0
"Columbus, IN","18020",2019,90,83,7,0,0,0,0,60,46,35,0,0,61,0,29,0
"Columbus, OH","18140",2019,121,86,35,0,0,0,0,85,60,45,1,7,29,0,84,0
"Cookeville, TN","18260",2019,90,89,1,0,0,0,0,54,39,21,0,0,0,0,90,0
"Corning, NY","18500",2019,91,91,0,0,0,0,0,46,16,2,69,0,0,1,21,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2019,88,82,6,0,0,0,0,84,47,35,0,0,82,0,0,6
"Cullowhee, NC","19000",2019,27,27,0,0,0,0,0,36,32,18,0,0,0,0,27,0
"Cumberland, MD-WV","19060",2019,90,67,10,12,1,0,0,161,108,19,0,0,0,90,0,0
"Dalton, GA","19140",2019,61,40,21,0,0,0,0,93,71,46,0,0,61,0,0,0
"Daphne-Fairhope-Foley, AL","19300",2019,26,25,1,0,0,0,0,52,43,31,0,0,0,0,26,0
"Davenport-Moline-Rock Island, IA-IL","19340",2019,121,66,55,0,0,0,0,87,67,47,1,0,38,0,65,17
"Dayton, OH","19380",2019,91,52,39,0,0,0,0,94,63,45,1,0,32,0,58,0
"Decatur, AL","19460",2019,70,65,5,0,0,0,0,64,48,29,0,0,0,0,70,0
"Decatur, IL","19500",2019,90,57,33,0,0,0,0,75,61,44,0,0,20,1,69,0
"Deming, NM","19700",2019,120,116,2,1,0,0,1,617,29,9,0,0,0,0,0,120
"Denver-Aurora-Lakewood, CO","19740",2019,104,38,65,0,1,0,0,153,76,53,0,31,19,0,45,9
"Des Moines-West Des Moines, IA","19780",2019,121,91,30,0,0,0,0,82,59,42,1,2,70,0,48,0
"Detroit-Warren-Dearborn, MI","19820",2019,2,2,0,0,0,0,0,26,26,26,1,0,0,0,1,0
"Dickinson, ND","19860",2019,90,87,3,0,0,0,0,61,48,36,0,0,82,0,8,0
"Dodge City, KS","19980",2019,79,77,2,0,0,0,0,54,24,9,0,0,0,0,0,79
"Dothan, AL","20020",2019,30,26,4,0,0,0,0,61,54,31,0,0,0,0,30,0
"Douglas, GA","20060",2019,10,10,0,0,0,0,0,46,46,18,0,0,0,0,10,0
"Dover, DE","20100",2019,120,98,22,0,0,0,0,83,58,42,0,0,88,0,32,0
"Duluth, MN-WI","20260",2019,89,85,4,0,0,0,0,58,47,36,0,0,89,0,0,0
"Durango, CO","20420",2019,92,86,6,0,0,0,0,71,49,38,1,9,56,0,26,0
"Durham-Chapel Hill, NC","20500",2019,90,66,24,0,0,0,0,92,57,42,0,0,0,5,85,0
"Dyersburg, TN","20540",2019,85,80,5,0,0,0,0,60,45,26,0,0,0,0,85,0
"Eau Claire, WI","20740",2019,59,47,12,0,0,0,0,81,60,30,0,0,0,0,59,0
"Effingham, IL","20820",2019,31,31,0,0,0,0,0,48,46,43,0,0,31,0,0,0
"El Centro, CA","20940",2019,52,27,24,1,0,0,0,144,77,47,0,0,0,0,52,0
"El Dorado, AR","20980",2019,90,83,7,0,0,0,0,59,50,31,0,0,0,0,90,0
"Elizabethtown-Fort Knox, KY","21060",2019,11,11,0,0,0,0,0,50,46,33,0,0,0,0,11,0
"Elkhart-Goshen, IN","21140",2019,59,46,13,0,0,0,0,78,56,33,0,0,32,0,27,0
"Ellensburg, WA","21260",2019,31,26,5,0,0,0,0,67,56,36,0,0,0,0,31,0
"Enid, OK","21420",2019,90,90,0,0,0,0,0,46,14,0,0,0,0,90,0,0
"Eugene, OR","21660",2019,90,42,45,3,0,0,0,117,80,52,0,0,0,0,90,0
"Eureka-Arcata-Fortuna, CA","21700",2019,91,88,3,0,0,0,0,64,40,29,1,0,66,0,13,11
"Evanston, WY","21740",2019,90,73,16,1,0,0,0,101,80,44,0,0,89,0,0,1
"Evansville, IN-KY","21780",2019,81,69,12,0,0,0,0,70,53,34,0,1,26,0,54,0
"Fairmont, WV","21900",2019,26,25,1,0,0,0,0,55,42,32,0,0,0,0,26,0
"Fargo, ND-MN","22020",2019,90,75,15,0,0,0,0,74,55,37,0,6,65,0,19,0
"Farmington, NM","22140",2019,120,114,6,0,0,0,0,67,49,41,0,1,119,0,0,0
