lat,lng,date,time,PM25,index
40.0845,-82.81552,6/18/2019,19:00,51,109
40.054171,-74.985166,6/18/2019,19:00,51,110
40.603943,-74.276176,6/18/2019,19:00,51,111
38.56844,-121.49311,6/18/2019,19:00,50,112
42.2211,-88.2411,6/18/2019,19:00,50,113
42.24,-83.5997,6/18/2019,19:00,50,114
35.8142,-80.2633,6/18/2019,19:00,49,115
40.2464,-77.1867,6/18/2019,19:00,49,116
40.462181,-74.429436,6/18/2019,19:00,49,117
45.593325,-73.637328,6/18/2019,19:00,49,118
18.840633,98.969661,6/18/2019,19:00,49,119
38.611893,-90.160614,6/18/2019,19:00,48,120
42.2283,-83.2092,6/18/2019,19:00,48,121
39.934446,-75.125291,6/18/2019,19:00,48,122
13.729984,100.536443,6/18/2019,19:00,48,123
38.56846,-121.493104,6/18/2019,19:00,47,124
40.136398,-111.660202,6/18/2019,19:00,47,125
21.298874,-100.51557,6/18/2019,19:00,47,126
39.2981,-76.604698,6/18/2019,19:00,47,127
40.7375,-73.8244,6/18/2019,19:00,47,128
38.56846,-121.493104,6/18/2019,20:00,47,129
21.298874,-100.51557,6/18/2019,20:00,47,130
38.613804,-121.368007,6/18/2019,19:00,46,131
39.785622,-104.988469,6/18/2019,19:00,46,132
39.991389,-75.080833,6/18/2019,19:00,46,133
40.8492,-73.9319,6/18/2019,19:00,46,134
37.4828,-122.2022,6/18/2019,19:00,45,135
37.687526,-121.784217,6/18/2019,19:00,45,136
33.676535,-117.331027,6/18/2019,19:00,45,137
40.7955,-111.9309,6/18/2019,19:00,45,138
40.086941,-108.761002,6/18/2019,19:00,45,139
39.751099,-104.987198,6/18/2019,19:00,45,140
38.650259,-90.350463,6/18/2019,19:00,45,141
38.7045,-90.1397,6/18/2019,19:00,45,142
39.831921,-89.644164,6/18/2019,19:00,45,143
40.8197,-73.9481,6/18/2019,19:00,45,144
45.502648,-73.663913,6/18/2019,19:00,45,145
43.660248,-70.268967,6/18/2019,19:00,45,146
19.3044,-99.0738,6/18/2019,19:00,44,147
41.6031,-93.643303,6/18/2019,19:00,44,148
38.65643,-90.18977,6/18/2019,19:00,44,149
40.5169,-88.9975,6/18/2019,19:00,44,150
40.11109,-83.065376,6/18/2019,19:00,44,151
35.356615,-119.062613,6/18/2019,19:00,43,152
33.71969,-116.1897,6/18/2019,19:00,43,153
39.828387,-104.938463,6/18/2019,19:00,43,154
40.4147,-104.7061,6/18/2019,19:00,43,155
19.3573,-99.2628,6/18/2019,19:00,43,156
30.2603,-81.4533,6/18/2019,19:00,43,157
40.739264,-73.817694,6/18/2019,19:00,43,158
37.642165,-120.994212,6/18/2019,19:00,42,159
40.283092,-74.742645,6/18/2019,19:00,42,160
39.32756,-121.66881,6/18/2019,19:00,41,161
41.5144,-90.5172,6/18/2019,19:00,41,162
41.771444,-72.679923,6/18/2019,19:00,41,163
40.4531,-122.2978,6/18/2019,19:00,40,164
53.201694,-105.75203,6/18/2019,19:00,40,165
26.131256,-80.167847,6/18/2019,19:00,40,166
40.33733,-76.383446,6/18/2019,19:00,40,167
40.515251,-74.806755,6/18/2019,19:00,40,168
43.4683,-112.053101,6/18/2019,19:00,39,169
43.0203,-88.215,6/18/2019,19:00,39,170
39.818715,-75.413973,6/18/2019,19:00,39,171
39.8356,-75.3725,6/18/2019,19:00,39,172
39.411743,-123.352661,6/18/2019,19:00,38,173
37.7658,-122.3978,6/18/2019,19:00,38,174
37.9604,-122.3571,6/18/2019,19:00,38,175
37.3483,-121.8947,6/18/2019,19:00,38,176
38.302591,-121.420838,6/18/2019,19:00,38,177
33.830586,-117.938509,6/18/2019,19:00,38,178
34.243132,-117.272275,6/18/2019,19:00,38,179
38.5425,-90.263611,6/18/2019,19:00,38,180
