lat,lng,date,PM25
35.05045,-118.14778,2019-06-17T17:00,43
34.669589,-118.130689,2019-06-17T17:00,34
45.3235,-118.0778,2019-06-17T17:00,15
33.830586,-117.938509,2019-06-17T17:00,15
36.4878,-117.871,2019-06-17T17:00,25
34.1439,-117.8508,2019-06-17T17:00,40
44.78822,-117.8446,2019-06-17T17:00,18
34.10366,-117.629096,2019-06-17T17:00,30
33.996387,-117.4925,2019-06-17T17:00,34
33.999449,-117.415831,2019-06-17T17:00,29
33.217026,-117.396156,2019-06-17T17:00,17
33.676535,-117.331027,2019-06-17T17:00,25
34.243132,-117.272275,2019-06-17T17:00,19
33.583099,-117.072197,2019-06-17T17:00,13
44.261694,-116.979172,2019-06-17T17:00,33
32.789561,-116.944222,2019-06-17T17:00,22
32.579361,-116.929486,2019-06-17T17:00,40
33.920758,-116.858419,2019-06-17T17:00,59
32.842297,-116.768326,2019-06-17T17:00,16
43.600699,-116.347853,2019-06-17T17:00,41
33.71969,-116.1897,2019-06-17T17:00,43
44.890197,-116.1065,2019-06-17T17:00,23
44.104498,-115.972386,2019-06-17T17:00,33
43.823017,-115.838557,2019-06-17T17:00,16
33.7472,-115.8201,2019-06-17T17:00,61
32.7917,-115.5617,2019-06-17T17:00,75
32.6336,-115.5042,2019-06-17T17:00,72
32.67618,-115.48307,2019-06-17T17:00,54
35.785665,-115.357087,2019-06-17T17:00,24
36.106389,-115.253333,2019-06-17T17:00,40
36.270592,-115.238282,2019-06-17T17:00,26
36.139707,-115.175654,2019-06-17T17:00,52
36.163962,-115.11393,2019-06-17T17:00,24
36.141875,-115.078742,2019-06-17T17:00,20
36.048705,-115.052942,2019-06-17T17:00,20
32.690277,-114.614441,2019-06-17T17:00,33
42.565089,-114.494717,2019-06-17T17:00,23
42.68,-114.2525,2019-06-17T17:00,14
45.178699,-113.892998,2019-06-17T17:00,27
42.607817,-113.786817,2019-06-17T17:00,35
34.243889,-113.558611,2019-06-17T17:00,29
37.179,-113.3052,2019-06-17T17:00,24
37.747445,-113.055524,2019-06-17T17:00,23
42.876701,-112.460297,2019-06-17T17:00,20
42.589833,-112.458889,2019-06-17T17:00,18
40.600556,-112.355,2019-06-17T17:00,19
33.5694,-112.1915,2019-06-17T17:00,35
33.483799,-112.142601,2019-06-17T17:00,33
33.4265,-112.1181,2019-06-17T17:00,43
33.503601,-112.095001,2019-06-17T17:00,45
33.4033,-112.0731,2019-06-17T17:00,28
33.560299,-112.066299,2019-06-17T17:00,23
43.4683,-112.053101,2019-06-17T17:00,45
32.884761,-112.03705,2019-06-17T17:00,42
40.496408,-112.036305,2019-06-17T17:00,20
33.3961,-111.968,2019-06-17T17:00,40
33.4124,-111.9347,2019-06-17T17:00,22
40.7955,-111.9309,2019-06-17T17:00,32
40.598056,-111.894167,2019-06-17T17:00,44
40.733501,-111.871696,2019-06-17T17:00,20
42.082222,-111.864167,2019-06-17T17:00,-999
41.842778,-111.85194,2019-06-17T17:00,19
43.809486,-111.800475,2019-06-17T17:00,25
40.3414,-111.7136,2019-06-17T17:00,21
40.136398,-111.660202,2019-06-17T17:00,31
42.65167,-111.61472,2019-06-17T17:00,23
44.657014,-111.089618,2019-06-17T17:00,18
32.322573,-111.037709,2019-06-17T17:00,43
32.2953,-110.9822,2019-06-17T17:00,9
32.25,-110.9667,2019-06-17T17:00,32
31.337204,-110.936722,2019-06-17T17:00,27
44.373056,-110.830833,2019-06-17T17:00,10
43.48256,-110.745261,2019-06-17T17:00,14
40.2943,-110.009,2019-06-17T17:00,20
40.464722,-109.56083,2019-06-17T17:00,29
31.3492,-109.539683,2019-06-17T17:00,35
44.52612,-109.016733,2019-06-17T17:00,21
40.086941,-108.761002,2019-06-17T17:00,45
42.5275,-108.7203,2019-06-17T17:00,17
39.063599,-108.561096,2019-06-17T17:00,16
38.8763,-107.6022,2019-06-17T17:00,27
32.310332,-106.751211,2019-06-17T17:00,14
35.0186,-106.651901,2019-06-17T17:00,25
35.1441,-106.6044,2019-06-17T17:00,25
32.0036,-106.5992,2019-06-17T17:00,43
35.1353,-106.584702,2019-06-17T17:00,23
35.338407,-106.524292,2019-06-17T17:00,17
31.768056,-106.501111,2019-06-17T17:00,35
31.7467,-106.402802,2019-06-17T17:00,54
42.82231,-106.36501,2019-06-17T17:00,7
31.66752,-106.28774,2019-06-17T17:00,31
35.6198,-106.0797,2019-06-17T17:00,17
36.3833,-105.5833,2019-06-17T17:00,5
38.979271,-105.352989,2019-06-17T17:00,2
40.0128,-105.2667,2019-06-17T17:00,27
40.164585,-105.100861,2019-06-17T17:00,30
40.571259,-105.079765,2019-06-17T17:00,43
39.5339,-105.07,2019-06-17T17:00,37
39.7794,-105.00523,2019-06-17T17:00,41
39.785622,-104.988469,2019-06-17T17:00,67
39.751099,-104.987198,2019-06-17T17:00,58
39.7386,-104.9394,2019-06-17T17:00,48
39.828387,-104.938463,2019-06-17T17:00,55
38.848,-104.8286,2019-06-17T17:00,28
41.18222,-104.778336,2019-06-17T17:00,-999
40.4147,-104.7061,2019-06-17T17:00,51
41.08536,-104.52277,2019-06-17T17:00,6
43.557613,-103.483658,2019-06-17T17:00,13
44.087397,-103.273777,2019-06-17T17:00,63
32.7267,-103.1233,2019-06-17T17:00,51
43.746944,-101.941109,2019-06-17T17:00,22
44.373786,-100.287269,2019-06-17T17:00,12
38.7703,-99.7636,2019-06-17T17:00,21
36.1589,-98.9353,2019-06-17T17:00,24
29.423933,-98.580505,2019-06-17T17:00,37
29.332803,-98.551396,2019-06-17T17:00,19
